epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,499.981,0.40609,1.12485,1.03795,1,0.91862,0.995,0.87012,0.59514,2.38894,1.0385,0.000493898,0.000493898,0.000493898
45,508.586,0.44191,0.91869,0.9854,0.79135,0.95676,0.945,0.81011,0.7003,2.35497,1.14678,0.000496672,0.000496672,0.000496672
46,516.931,0.37752,0.93762,1.02668,0.79135,0.95676,0.945,0.81011,0.7003,2.35497,1.14678,0.00049905,0.00049905,0.00049905
47,524.504,0.44069,0.95748,0.93274,0.66382,0.98932,0.91167,0.78723,0.77693,2.30795,1.19075,0.000501032,0.000501032,0.000501032
48,533.779,0.41907,1.0114,0.97932,0.66382,0.98932,0.91167,0.78723,0.77693,2.30795,1.19075,0.000502618,0.000502618,0.000502618
49,541.728,0.51596,0.96345,1.14315,1,0.97883,0.995,0.83677,0.75279,2.1957,1.16588,0.000503808,0.000503808,0.000503808
50,550.321,0.45909,0.95246,0.98061,1,0.97883,0.995,0.83677,0.75279,2.1957,1.16588,0.000504602,0.000504602,0.000504602
51,557.979,0.40478,0.91599,0.96551,0.99221,0.75,0.945,0.68686,0.94373,2.45982,1.37113,0.000505,0.000505,0.000505
52,567.797,0.3207,0.86116,0.89779,0.99221,0.75,0.945,0.68686,0.94373,2.45982,1.37113,0.000505002,0.000505002,0.000505002
53,575.219,0.53988,1.25774,1.04626,0.99221,0.75,0.945,0.68686,0.94373,2.45982,1.37113,0.000504608,0.000504608,0.000504608
54,584.768,0.50705,1.0591,1.05284,1,0.72182,0.845,0.57543,0.99868,2.78297,1.6433,0.000503818,0.000503818,0.000503818
55,594.945,0.3737,1.04557,0.97186,1,0.72182,0.845,0.57543,0.99868,2.78297,1.6433,0.000502632,0.000502632,0.000502632
56,603.724,0.5496,1.20455,1.06734,1,0.72182,0.845,0.57543,0.99868,2.78297,1.6433,0.00050105,0.00050105,0.00050105
57,612.47,0.50316,1.04701,1.15421,1,0.72549,0.82192,0.50455,1.04318,2.72583,1.58495,0.000499072,0.000499072,0.000499072
58,620.92,0.42337,0.8273,0.94466,1,0.72549,0.82192,0.50455,1.04318,2.72583,1.58495,0.000496698,0.000496698,0.000496698
59,629.467,0.445,0.89154,0.96519,1,0.72549,0.82192,0.50455,1.04318,2.72583,1.58495,0.000493928,0.000493928,0.000493928
60,640.058,0.583,1.02902,1.03811,0.7006,0.75,0.76583,0.46737,0.97115,2.77758,1.5296,0.000490762,0.000490762,0.000490762
61,649.837,0.28737,0.81844,0.90225,0.7006,0.75,0.76583,0.46737,0.97115,2.77758,1.5296,0.0004872,0.0004872,0.0004872
62,659.684,0.48418,0.89054,0.98091,0.7006,0.75,0.76583,0.46737,0.97115,2.77758,1.5296,0.000483242,0.000483242,0.000483242
63,717.889,0.38893,1.25425,0.99309,1,0.70469,0.82192,0.54309,0.97584,2.88652,1.49221,0.000478888,0.000478888,0.000478888
64,725.75,0.40918,0.87269,0.96528,1,0.70469,0.82192,0.54309,0.97584,2.88652,1.49221,0.000474138,0.000474138,0.000474138
65,733.42,0.37821,0.9276,1.01253,1,0.70469,0.82192,0.54309,0.97584,2.88652,1.49221,0.000468992,0.000468992,0.000468992
66,740.852,0.37362,1.07049,0.96185,0.71167,0.75,0.88786,0.58815,0.87175,2.85423,1.37174,0.00046345,0.00046345,0.00046345
67,748.628,0.41647,0.86637,0.94282,0.71167,0.75,0.88786,0.58815,0.87175,2.85423,1.37174,0.000457512,0.000457512,0.000457512
68,758.995,0.32931,0.75573,0.93878,0.71167,0.75,0.88786,0.58815,0.87175,2.85423,1.37174,0.000451178,0.000451178,0.000451178
